Item,Year,Price per Kg in Rial
Apples,2005,1925.2524
Apples,2006,2789.514
Apples,2007,3925.863
Apples,2008,4377.4204
Apples,2009,6257.7216
Apples,2010,6091.901400000001
Apples,2011,7426.953600000001
Apples,2012,7634.9425
"Beans, dry",2005,3876.4975
"Beans, dry",2006,6422.668
"Beans, dry",2007,8291.6454
"Beans, dry",2008,8836.8644
"Beans, dry",2009,9722.944800000001
"Beans, dry",2010,11887.4622
"Beans, dry",2011,14012.0584
"Beans, dry",2012,26368.615000000005
Dates,2005,2898.6341999999995
Dates,2006,3130.638
Dates,2007,3817.2753000000002
Dates,2008,5837.8176
Dates,2009,8226.576
Dates,2010,7044.498
Dates,2011,5442.8232
Dates,2012,9250.565
Eggplants (aubergines),2005,855.0702000000001
Eggplants (aubergines),2006,1286.551
Eggplants (aubergines),2007,1543.4303
Eggplants (aubergines),2008,1792.2628
Eggplants (aubergines),2009,1199.4624
Eggplants (aubergines),2010,1134.0924
Eggplants (aubergines),2011,3833.4376
Eggplants (aubergines),2012,4116.3675
"Fruit, citrus nes",2005,1836.5186999999999
"Fruit, citrus nes",2006,2156.784
"Fruit, citrus nes",2007,2696.1305
"Fruit, citrus nes",2008,3152.7232
"Fruit, citrus nes",2009,4509.8207999999995
"Fruit, citrus nes",2011,4884.421600000001
"Fruit, citrus nes",2012,6612.2425
"Fruit, fresh nes",2005,2427.1803999999997
"Fruit, fresh nes",2006,3239.761
"Fruit, fresh nes",2007,4188.5153
"Fruit, fresh nes",2008,7107.769200000001
"Fruit, fresh nes",2009,9128.1456
Garlic,2005,2480.0621
Garlic,2006,2350.271
Garlic,2007,2651.5816999999997
Garlic,2008,2841.5991999999997
Garlic,2009,2857.6007999999997
Garlic,2010,4458.4392
Garlic,2011,11124.5064
Garlic,2012,9933.5825
"Honey, natural",2005,27783.507400000002
"Honey, natural",2006,37130.247
"Honey, natural",2007,43935.325899999996
"Honey, natural",2008,51066.762
"Honey, natural",2009,77454.1008
"Honey, natural",2010,85218.9432
"Honey, natural",2011,103667.3632
"Honey, natural",2012,189794.8575
Lentils,2005,4235.0175
Lentils,2006,5325.019
Lentils,2007,6287.8775
Lentils,2008,10223.7232
Lentils,2009,10188.5256
Lentils,2010,10310.397
Lentils,2011,13549.200799999999
Lentils,2012,18975.955
"Meat live weight, cattle",2005,16110.9925
"Meat live weight, cattle",2006,19494.503
"Meat live weight, cattle",2007,23507.844900000004
"Meat live weight, cattle",2008,26476.652400000003
"Meat live weight, cattle",2009,34873.185600000004
"Meat live weight, cattle",2010,42131.635200000004
"Meat live weight, cattle",2011,46342.02480000001
"Meat live weight, cattle",2012,84209.605
"Meat live weight, sheep",2005,17223.3008
"Meat live weight, sheep",2006,19975.928
"Meat live weight, sheep",2007,25514.3971
"Meat live weight, sheep",2008,30754.136
"Meat live weight, sheep",2009,46814.544
"Meat live weight, sheep",2010,59818.7598
"Meat live weight, sheep",2011,66481.6384
"Meat live weight, sheep",2012,87243.615
"Onions, dry",2005,1075.56
"Onions, dry",2006,1307.642
"Onions, dry",2007,1160.125
"Onions, dry",2008,1628.2155999999998
"Onions, dry",2009,2859.5735999999997
"Onions, dry",2010,1993.3776
"Onions, dry",2011,1837.6295999999998
"Onions, dry",2012,3437.0025
Oranges,2005,2154.7052000000003
Oranges,2006,2875.712
Oranges,2007,3515.6428
Oranges,2008,3475.1608
Oranges,2009,4166.553599999999
Oranges,2010,5037.7902
Oranges,2011,5791.028
Oranges,2012,7210.035000000001
Potatoes,2005,701.8029
Potatoes,2006,1670.774
Potatoes,2007,2579.1899
Potatoes,2008,1304.8352
Potatoes,2009,1970.8272000000002
Potatoes,2010,2791.1387999999997
Potatoes,2011,2158.2328
Potatoes,2012,2515.355
"Rice, paddy",2005,3515.2886000000003
"Rice, paddy",2006,9008.608
"Rice, paddy",2007,4984.825100000001
"Rice, paddy",2008,10290.662
"Rice, paddy",2009,6435.2735999999995
"Rice, paddy",2010,7377.753
"Rice, paddy",2011,9508.7512
"Rice, paddy",2012,12237.0925
Soybeans,2005,2596.5811
Soybeans,2006,2911.475
Soybeans,2007,4368.5667
Soybeans,2008,4104.9511999999995
Soybeans,2009,5070.096
Soybeans,2010,5419.239
Soybeans,2011,5662.5743999999995
Soybeans,2012,10255.0025
Sunflower seed,2005,3471.3698999999997
Sunflower seed,2006,3793.629
Sunflower seed,2007,5939.84
Sunflower seed,2008,12622.206400000001
Sunflower seed,2009,6033.808800000001
Sunflower seed,2010,6744.055800000001
Sunflower seed,2011,8467.3216
Sunflower seed,2012,11292.3125
Tea,2005,1799.7704
Tea,2006,2130.191
Tea,2007,2190.316
Tea,2008,2691.694
Tea,2009,3233.4192000000003
Tea,2010,3172.5876
Tea,2011,3859.9776
Tea,2012,4264.9025
"Tobacco, unmanufactured",2005,11149.075700000001
"Tobacco, unmanufactured",2006,12229.112
"Tobacco, unmanufactured",2007,43755.2745
"Tobacco, unmanufactured",2008,21578.8064
"Tobacco, unmanufactured",2009,28489.204799999996
"Tobacco, unmanufactured",2010,20879.1948
"Tobacco, unmanufactured",2011,35801.3984
"Tobacco, unmanufactured",2012,86519.2025
Tomatoes,2005,978.7596
Tomatoes,2006,1058.218
Tomatoes,2007,1126.7134
Tomatoes,2008,2432.424
Tomatoes,2009,1237.932
Tomatoes,2010,2149.2383999999997
Tomatoes,2011,2681.6016
Tomatoes,2012,3523.4449999999997
"Vegetables, leguminous nes",2005,1218.0717
"Vegetables, leguminous nes",2006,1494.71
"Vegetables, leguminous nes",2007,2094.7217
"Vegetables, leguminous nes",2008,2754.8616
"Vegetables, leguminous nes",2009,1614.7368
"Vegetables, leguminous nes",2010,2223.0672000000004
"Vegetables, leguminous nes",2011,3233.6336
"Vegetables, leguminous nes",2012,4855.39
Watermelons,2005,525.2318
Watermelons,2006,1032.542
Watermelons,2007,965.224
Watermelons,2008,1330.2908
Watermelons,2009,1378.9872000000003
Watermelons,2010,1241.7594
Watermelons,2011,1520.2112
Watermelons,2012,2504.3975
Wheat,2005,1866.0965999999999
Wheat,2006,2067.835
Wheat,2007,2039.0357
Wheat,2008,2925.5083999999997
Wheat,2009,3053.8944000000006
Wheat,2010,3188.994
Wheat,2011,3411.9824
Wheat,2012,4362.3025
